title,track,novelty_scores,scope_scores,technical_scores
Understanding GDPR Non-Compliance in Privacy Policies of Alexa Skills in European Marketplaces,Responsible Web,"5, 6, 5, 6, 3","3, 4, 4, 3, 2","5, 6, 4, 6, 5"
A Knowledge-Injected Curriculum Pretraining Framework for Question Answering,Semantics and Knowledge,"4, 4, 5, 4","3, 3, 4, 3","5, 5, 5, 5"
Descriptive Kernel Convolution Network with Improved Random Walk Kernel,Graph Algorithms and Learning for the Web,"5, 3, 6, 4","3, 4, 4, 4","3, 4, 5, 4"
Knowledge-Augmented Large Language Models for Personalized Contextual Query Suggestion,User Modeling and Recommendation,"3, 5, 6, 4","4, 4, 3, 4","4, 5, 4, 4"
Collaborative Metapath Enhanced Corporate Default Risk Assessment on Heterogeneous Graph,Graph Algorithms and Learning for the Web,"5, 5, 5, 5, 4","3, 2, 3, 3, 3","6, 5, 4, 5, 4"
Causally Debiased Time-aware Recommendation,User Modeling and Recommendation,"4, 6, 4, 5, 3","3, 4, 4, 3, 3","5, 6, 5, 5, 3"
Memory Disagreement: A Pseudo-Labeling Measure from Training Dynamics for Semi-supervised Graph Learning,Graph Algorithms and Learning for the Web,"4, 6, 2, 4","4, 3, 3, 3","5, 5, 5, 5"
Matching Feature Separation Network for Domain Adaptation in Entity Matching,Semantics and Knowledge,"2, 5, 5, 4","3, 2, 4, 2","4, 6, 6, 5"
InArt: In-Network Aggregation with Route Selection for Accelerating Distributed Training,"Systems and Infrastructure for Web, Mobile, and WoT","6, 5, 4, 4","3, 3, 3, 2","7, 5, 4, 4"
Cold Start or Hot Start? Robust Slow Start in Congestion Control with A Priori Knowledge for Mobile Web Services,"Systems and Infrastructure for Web, Mobile, and WoT","4, 5, 5, 4, 6","2, 3, 4, 4, 4","4, 6, 6, 4, 5"
Supervised Fine-Tuning for Unsupervised KPI Anomaly Detection for Mobile Web Systems,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 4, 3","3, 4, 3, 3","6, 5, 5, 5"
Scalable and Provably Fair Exposure Control for Large-Scale Recommender Systems,User Modeling and Recommendation,"3, 6, 4, 3, 5","3, 3, 3, 4, 3","4, 5, 5, 3, 6"
Evaluating Task-Specific Node Influence via Node-Removal-Based Fast Graph Neural Network Inference,COI (submissions co-authored by SAC),"4, 5, 5, 5, 2, 6","4, 4, 3, 3, 3, 4","6, 5, 5, 5, 2, 4"
NCTM: A Novel Coded Transmission Mechanism for Short Video Deliveries,"Systems and Infrastructure for Web, Mobile, and WoT","4, 4, 4, 5, 7","3, 3, 3, 4, 4","5, 3, 3, 7, 7"
Robust Decision Aggregation with Second-order Information,"Economics, Online Markets, and Human Computation","4, 5, 5, 6, 4","3, 3, 3, 3, 3","5, 5, 6, 6, 4"
Local Centrality Minimization with Quality Guarantees,Graph Algorithms and Learning for the Web,"5, 5, 4, 6, 5","4, 4, 4, 3, 3","5, 5, 4, 4, 5"
Efficient Noise-Decoupling for Multi-Behavior Sequential Recommendation,User Modeling and Recommendation,"5, 6, 5, 5, 4","4, 3, 4, 4, 4","5, 5, 5, 5, 5"
Adversarial-Enhanced Causal Multi-Task Framework for Debiasing Post-Click Conversion Rate Estimation,User Modeling and Recommendation,"6, 4, 4, 6, 3","4, 4, 4, 4, 4","6, 4, 5, 4, 5"
Back to the Future: Towards Explainable Temporal Reasoning with Large Language Models,Semantics and Knowledge,"4, 6, 6, 6","3, 6, 4, 4","2, 2, 6, 5"
Deliberate Exposure to Opposing Views and its Association with Behavior and Rewards on Political Communities,"Social Networks, Social Media, and Society","5, 6, 4, 4, 4","4, 4, 3, 4, 3","5, 6, 4, 4, 5"
Interpretable Knowledge Tracing with Multiscale State Representation,User Modeling and Recommendation,"5, 4, 5, 4, 5","3, 4, 3, 3, 4","5, 3, 5, 4, 5"
Hierarchical Position Embedding of Graphs with Landmarks and Clustering for Link Prediction,Graph Algorithms and Learning for the Web,"4, 3, 5, 4, 3","3, 4, 4, 4, 4","5, 5, 5, 4, 3"
Lower-Left Partial AUC: An Effective and Efficient Optimization Metric for Recommendation,User Modeling and Recommendation,"5, 5, 4","4, 4, 3","7, 6, 6"
Masked Graph Autoencoder with Non-discrete Bandwidths,Graph Algorithms and Learning for the Web,"6, 6, 4, 5, 5","4, 4, 3, 3, 3","6, 6, 2, 6, 5"
Enhancing Fairness in Meta-learned User Modeling via Adaptive Sampling,User Modeling and Recommendation,"3, 4, 4, 6","3, 3, 3, 4","4, 5, 4, 6"
Hierarchical Graph Signal Processing for Collaborative Filtering,User Modeling and Recommendation,"4, 5, 5, 5","3, 3, 4, 4","5, 6, 5, 5"
Graph Contrastive Learning Meets Graph Meta Learning: A Unified Method for Few-shot Node Tasks,Graph Algorithms and Learning for the Web,"3, 6, 5, 5","4, 4, 4, 4","5, 5, 4, 5"
Multimodal Query Suggestion with Multi-Agent Reinforcement Learning from Human Feedback,Search,"7, 5, 6, 3","4, 4, 4, 3","6, 5, 6, 4"
Data Exchange Markets via Utility Balancing,COI (submissions co-authored by SAC),"6, 6, 5, 3, 4","3, 4, 2, 2, 3","5, 6, 5, 4, 3"
Search-in-the-Chain: Interactively Enhancing Large Language Models with Search for Knowledge-intensive Tasks,Search,"6, 6, 4, 5, 5","4, 4, 3, 4, 4","6, 6, 4, 5, 5"
Efficiency of the Generalized Second-Price Auction for Value Maximizers,"Economics, Online Markets, and Human Computation","6, 5, 4, 5","4, 3, 4, 4","6, 6, 5, 5"
Multi-Modal Knowledge Distillation for Recommendation with Prompt-Tuning,User Modeling and Recommendation,"5, 5, 4, 5, 5","2, 4, 4, 3, 4","5, 5, 5, 5, 5"
Harnessing Large Language Models for Text-Rich Sequential Recommendation,User Modeling and Recommendation,"2, 4, 3, 4","3, 4, 4, 4","6, 5, 4, 4"
Not All Embeddings are Created Equal: Towards Robust Cross-domain Recommendation via Contrastive Learning,User Modeling and Recommendation,"3, 5, 6, 5, 5","4, 4, 4, 3, 4","3, 5, 7, 5, 5"
InfoRank: Unbiased Learning-to-Rank via Conditional Mutual Information Minimization,Search,"5, 5, 5, 2, 3","4, 4, 4, 4, 4","4, 5, 5, 3, 4"
Clickbait vs. Quality: How Engagement-Based Optimization Shapes the Content Landscape in Online Platforms,"Economics, Online Markets, and Human Computation","6, 4, 5","4, 4, 3","5, 4, 5"
Rethinking Cross-Domain Sequential Recommendation under Open-World Assumptions,User Modeling and Recommendation,"6, 6, 4, 5, 6","3, 4, 3, 4, 4","6, 6, 6, 5, 5"
Interface Illusions: Uncovering the Rise of Visual Scams in Cryptocurrency Wallets,Security,"5, 6, 4, 6, 5","4, 4, 1, 3, 4","5, 5, 4, 5, 3"
FreqMAE: Frequency-Aware Masked Autoencoder for Multi-Modal IoT Sensing,"Systems and Infrastructure for Web, Mobile, and WoT","4, 3, 3, 4, 2","3, 3, 3, 3, 3","5, 3, 3, 6, 4"
On Truthful Item Acquiring Mechanisms for Reward Maximization,"Economics, Online Markets, and Human Computation","6, 5, 5, 6","4, 4, 4, 3","4, 5, 5, 5"
Off-Policy Evaluation of Slate Bandit Policies via Optimizing Abstraction,User Modeling and Recommendation,"5, 5, 6, 5","3, 3, 4, 4","4, 6, 3, 4"
(In)Security of File Uploads in Node.js,Security,"2, 3, 5, 4, 7","3, 3, 3, 4, 4","4, 4, 4, 6, 6"
Towards Energy-efficient Federated Learning via INT8-based Training on Mobile DSPs,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 5, 3, 5","4, 3, 4, 4, 2","6, 5, 5, 4, 5"
Unlocking the Non-deterministic Computing Power with Memory-Elastic Multi-Exit Neural Networks,"Systems and Infrastructure for Web, Mobile, and WoT","5, 5, 5, 5, 5","3, 4, 3, 3, 3","5, 5, 4, 5, 5"
"Meet challenges of RTT Jitter, A Hybrid Internet Congestion Control Algorithm","Systems and Infrastructure for Web, Mobile, and WoT","3, 6, 1, 4, 5","3, 4, 2, 3, 3","4, 6, 3, 5, 5"
Prompt-enhanced Federated Content Representation Learning for Cross-domain Recommendation,User Modeling and Recommendation,"4, 6, 6, 4","4, 4, 4, 4","4, 5, 7, 5"
DirectFaaS: A Clean-Slate Network Architecture for Efficient Serverless Chain Communications,"Systems and Infrastructure for Web, Mobile, and WoT","4, 6, 5, 5, 3","2, 3, 4, 3, 3","4, 5, 6, 5, 5"
Cooperative Classification and Rationalization for Graph Generalization,Graph Algorithms and Learning for the Web,"4, 5, 5, 5","3, 4, 3, 3","4, 4, 5, 6"
User Distribution Mapping Modelling with Collaborative Filtering for Cross Domain Recommendation,Graph Algorithms and Learning for the Web,"4, 5, 6, 6, 5","3, 4, 4, 4, 4","4, 5, 6, 6, 5"
A Data-Centric Multi-Objective Learning Framework for Responsible Recommendation Systems,User Modeling and Recommendation,"5, 4, 2, 5","3, 3, 4, 4","6, 4, 3, 5"
MARIO: Model Agnostic Recipe for Improving OOD Generalization of Graph Contrastive Learning,Graph Algorithms and Learning for the Web,"5, 6, 6, 6, 4","4, 4, 3, 4, 4","6, 6, 6, 6, 5"
ARES: Predictable Traffic Engineering under Controller Failures in SD-WANs,"Systems and Infrastructure for Web, Mobile, and WoT","4, 4, 6, 6, 4","3, 3, 3, 4, 4","3, 4, 5, 5, 4"
Advancing Web 3.0: Making Smart Contracts Smarter on Blockchain,Security,"6, 4, 5","3, 1, 3","4, 4, 5"
"LFDe: A Lighter, Faster and More Data-Efficient Pre-training Framework for Event Extraction",Web Mining and Content Analysis,"4, 6, 5, 5","3, 4, 3, 3","3, 6, 5, 5"
